"gene_short_name","pval","qval"
"PLAC8",5.04089141351628e-208,9.06522052534633e-208
"PHLDA2",0,0
"CXCL8",0,0
"SERPINB5",0,0
"SAT1",0,0
"CXCL3",1.59965515388294e-189,2.77851748616213e-189
"TMC5",1.49962601200776e-138,2.30814323912226e-138
"RPL36A",0,0
"CLDN4",0,0
"LCN2",0,0
"FGFBP1",0,0
"PRSS22",5.90930757920816e-311,1.28430931055653e-310
"HCAR3",0,0
"KRT16",5.56341307922397e-299,1.17661425758649e-298
"CCL20",2.99402463085454e-228,5.54567731410959e-228
"CEACAM6",3.96709776749372e-161,6.46240973424119e-161
"EREG",6.9006352657266e-288,1.43142673977302e-287
"MMP7",0,0
"TNNI2",5.4683674633805e-126,8.07190760379545e-126
"KRT6A",0,0
"LY6D",2.01390218733333e-307,4.34420297267664e-307
"SFN",0,0
"EDN1",0,0
"H1FX",7.95134148715478e-310,1.71947759659722e-309
"HSPH1",0,0
"TRA2B",1.40459571487791e-124,2.05928015825321e-124
"SRRT",1.25892665983415e-16,1.40512459452457e-16
"HSPB1",0,0
"HSP90AA1",0,0
"GDF15",0,0
"PTPRK",6.23551546536459e-153,9.96990920062915e-153
"HNRNPUL1",3.49244600419584e-06,3.67514086816229e-06
"HSPA8",1.18159577787134e-135,1.80261084278432e-135
"PMEPA1",4.02615724789616e-27,4.68724901672971e-27
"IER3",6.30090535433267e-168,1.06036636799567e-167
"HSPA1A",0,0
"UBC",2.77719336027396e-228,5.15509067947849e-228
"IFRD1",7.06396404096358e-79,9.53249437665133e-79
"PLEC",2.79760710249596e-46,3.44719393683618e-46
"EPM2AIP1",0.00488773950068549,0.00503920699415131
"ZNF503",1.31620367140034e-14,1.45590303805792e-14
"ADM",6.1728307671823e-14,6.80190906192699e-14
"GADD45A",1.29648891831905e-165,2.14428855515483e-165
"GADD45G",4.02396383116102e-55,5.08135578679457e-55
"H1F0",4.34088418393079e-152,6.88966021853236e-152
"KDM5B",5.83054372119518e-90,7.98009544119277e-90
"DNALI1",1.55501871789422e-36,1.87861898181355e-36
"EFHC1",3.34460728613423e-35,4.02376259041184e-35
"BAMBI",1.51583846948265e-24,1.73668910742052e-24
"THBD",7.6935753819239e-06,8.06659721862324e-06
"BAG3",0,0
"CYB5D2",1.05557417506362e-51,1.32329226294208e-51
"TPPP3",2.91399150433276e-277,5.88925853095289e-277
