"gene_short_name","pval","qval"
"DNAJA1",4.71280808452396e-15,6.86292759783372e-15
"HIST1H2AC",7.24967666251859e-15,1.05394459043337e-14
"UBA7",1.20817160118709e-14,1.75347052856851e-14
"HMGB3",1.33616346595795e-14,1.93598224129586e-14
"KRT17",2.15948855768447e-14,3.12367492039643e-14
"C15orf48",2.90875637224948e-14,4.20045786643707e-14
"KDM5B",3.07370835924449e-14,4.43126288457747e-14
"CTSC",6.4811357267492e-14,9.32809052186033e-14
"XIST",6.68570374683309e-14,9.60653445350602e-14
"KRT5",9.30468339800486e-14,1.33475143271546e-13
"SCGB1A1",1.61644482732256e-13,2.31494168151327e-13
"BAIAP2",2.57749047289328e-13,3.68517232901271e-13
"SLC4A2",4.14969453529107e-13,5.92324384987917e-13
"SFTPA1",4.57213054919334e-13,6.51547434110748e-13
"PLA2G16",4.97555988916089e-13,7.07871596073054e-13
"EREG",6.35033196907319e-13,9.01976544047341e-13
"ELMSAN1",1.45201670234231e-12,2.05900729102639e-12
"BRE",3.73062102603815e-12,5.28148475863011e-12
"GLRX",5.28024762431624e-12,7.46309508992409e-12
"IGLC3",7.01944853574054e-12,9.90509458958494e-12
"AAED1",1.11157129265346e-11,1.56597584388476e-11
"NR3C1",1.42892229803904e-11,2.00978502081913e-11
"GADD45B",1.76372446985332e-11,2.47665854938818e-11
"ABCD3",2.24019709571714e-11,3.14063288135386e-11
"INTS6",2.51266522686459e-11,3.51691815734284e-11
"IFFO2",3.34135065530571e-11,4.66925414675193e-11
"SNUPN",4.5271665271902e-11,6.31612749357988e-11
"CXCL3",5.56167632123617e-11,7.74694044745456e-11
"HMGA1",6.40065511255254e-11,8.90123259221534e-11
"ARID4A",6.61584882022095e-11,9.18572910030678e-11
"IFI27",8.26852983806501e-11,1.14619844710356e-10
"EFNA1",1.68764881536289e-10,2.33570596046223e-10
"TRAPPC2P1",2.2908424659271e-10,3.16546123486732e-10
"SAT1",2.7064436077668e-10,3.73376988950284e-10
"PPP1R15A",2.77315186037704e-10,3.81970757838557e-10
"PHLDA2",3.13874302139234e-10,4.31639541097674e-10
"KRT15",3.45149313445617e-10,4.73895485921363e-10
"TNFRSF12A",6.7918645201286e-10,9.310559128227e-10
"CXCL6",7.70294864450956e-10,1.05428015466784e-09
"UBB",9.75978045541282e-10,1.33368247929417e-09
"COL7A1",1.0145086022953e-09,1.38414817190131e-09
"HSPA6",2.88864989903512e-09,3.93493253963052e-09
"BTN3A2",2.96636779366314e-09,4.03444676339406e-09
"KLF6",4.42197171434031e-09,6.00471826201628e-09
"VASP",8.33027168149809e-09,1.12941771230342e-08
"IFI6",8.77090131295094e-09,1.18729728258256e-08
"HNRNPUL1",1.16320367834489e-08,1.57214247151301e-08
"C20orf85",1.29454446703735e-08,1.74692818094744e-08
"VMP1",1.9133966366599e-08,2.57801883288289e-08
"MT-ND5",2.64977668706787e-08,3.56462960235413e-08
"LGMN",3.60709365187313e-08,4.84493169079233e-08
"EZR",5.53419274752577e-08,7.42182438234076e-08
"PSENEN",9.61434874033246e-08,1.28737022606619e-07
"ASPSCR1",1.0590530514333e-07,1.41589009194715e-07
"AQP3",1.0979392505264e-07,1.46561335139712e-07
"KRT6A",1.1926288662462e-07,1.58955927473493e-07
"JUND",1.86818152947414e-07,2.48611849691559e-07
"MMP13",1.93119286012146e-07,2.56602430722744e-07
"UBXN11",2.06464914999472e-07,2.73914342752367e-07
"SCGB3A1",4.77250096577329e-07,6.32191934976094e-07
"RDH11",4.99566372668881e-07,6.60741456205783e-07
"NPC2",6.7731520970197e-07,8.94469704415579e-07
"C9orf24",7.91610869571259e-07,1.04381616185844e-06
"DUSP5",1.23942762305363e-06,1.63181871223956e-06
"SLC34A2",1.66324519857645e-06,2.18648494949639e-06
"TLE3",2.04588791156694e-06,2.68542191730713e-06
"ODF3B",3.43632705660962e-06,4.50367106661715e-06
"NRP2",3.63601451218132e-06,4.7581733026276e-06
"HIPK1",4.4413563832477e-06,5.80328288747623e-06
"DFFA",5.45070814130251e-06,7.1114065493615e-06
"PMAIP1",5.64893115530159e-06,7.35892386948174e-06
"SDC4",6.19612136384591e-06,8.05961651086723e-06
"NEDD9",6.81779662279768e-06,8.85494606414413e-06
"KRT7",7.81998036312022e-06,1.01413538442264e-05
"PLAU",9.28848477787332e-06,1.2027753492306e-05
"TMEM190",1.1293302305115e-05,1.46019529057167e-05
"CAPS",1.18250945225641e-05,1.52667265104745e-05
"CTSL",1.4290809878599e-05,1.84225790536335e-05
"PGM2L1",1.43888491086805e-05,1.85213608318581e-05
"FAM183A",2.0664536938733e-05,2.6559917462116e-05
"PROS1",2.11381609084379e-05,2.71283519077133e-05
"HNRNPH1",2.16652036115303e-05,2.77635572207017e-05
"SFN",2.50645605856494e-05,3.20722557789745e-05
"DEFB1",2.63225520231168e-05,3.36322119645437e-05
"TINAGL1",2.93138743844986e-05,3.73989695318455e-05
"S100A14",3.00380405704684e-05,3.8266428709065e-05
"ST3GAL4",3.27239754040462e-05,4.16268216536764e-05
"BBC3",5.00466310411407e-05,6.35687751109937e-05
"RRAD",6.6048449126615e-05,8.37711268248123e-05
"SERPINB3",6.61533718445023e-05,8.37813567283961e-05
"TOB1",7.14293567699003e-05,9.03309848040405e-05
"HCAR3",8.64484161559786e-05,0.000109164788284557
"SAA1",0.00010633802207696,0.000134085115301123
"NKX2-1",0.000115265633664062,0.000145130674118506
"SMIM3",0.000181705593888318,0.000228452527199702
"TACSTD2",0.000217150536544053,0.000272620049507411
"HSPA2",0.000225511849934551,0.000282706884338241
"MSMB",0.000240275474528795,0.00030077899488771
"APOE",0.000241184723852832,0.000301480904816041
"HBEGF",0.000267340853053673,0.00033369384977118
"SMAD7",0.000328851036387561,0.000409879173595447
"HIST2H2BE",0.000372001232985028,0.000462994340333883
"HPS4",0.000566782012349675,0.00070440580557826
"CTNNB1",0.00060538211884949,0.000751299186233585
"USP31",0.00080721454779181,0.00100034467598842
"RSRC1",0.000847881927697042,0.0010492387231158
"CXCL17",0.000962045542676479,0.00118881342059308
"IGHA1",0.00113490941343866,0.00140042317064827
"PPM1N",0.00118280297733817,0.00145744241509618
"SELENOM",0.00189316807028552,0.00232943155163154
"RIC3",0.00193803657277484,0.00238125232308272
"RBM5",0.00199838148323309,0.00245191486949876
"CEACAM6",0.0021854286885895,0.00267761446973076
"CREB3L2",0.00241932842138068,0.00295999870508386
"HCAR2",0.00281902729365599,0.00344415057770117
"PIGR",0.0054461135054728,0.00664441210470236
"WFDC2",0.00584922908440237,0.00712617346198316
"TUBA4A",0.00639349157945812,0.00777829847571206
"CYP4B1",0.00672223889362014,0.00816676494800761
"KLF5",0.00688028693076078,0.008347052167052
"THBD",0.00736450751173805,0.00892198739167145
"EPM2AIP1",0.00770867524593721,0.00932587984298697
